Configuration,DB_Memory,MAS_Workers,Parallel_Jobs,Execution_Time
Config_89,1250,34,50,37.43691327
Config_90,1250,34,60,47.65205145
Config_91,1250,46,10,16.92368562
Config_92,1250,46,20,26.28152283
Config_93,1250,46,30,22.9280324
Config_94,1250,46,40,29.79998714
Config_95,1250,46,50,34.47775711
Config_96,1250,46,60,34.12072313
Config_97,1250,58,10,15.75517766
Config_98,1250,58,20,20.57985263
Config_99,1250,58,30,24.30014355
Config_100,1250,58,40,28.1016406
Config_101,1250,58,50,27.19772256
Config_102,1250,58,60,37.17134966
Config_103,1250,70,10,11.12868094
Config_104,1250,70,20,13.83086718
Config_105,1250,70,30,22.03582496
Config_106,1250,70,40,29.86250781
Config_107,1250,70,50,42.27318303
Config_108,1250,70,60,38.71514259
Config_109,1750,10,10,52.31372598
Config_110,1750,10,20,55.65374445
Config_111,1750,10,30,51.43211795
Config_112,1750,10,40,65.89340465
Config_113,1750,10,50,71.32712508
Config_114,1750,10,60,88.34218459
Config_115,1750,22,10,26.34875418
Config_116,1750,22,20,33.81829572
Config_117,1750,22,30,37.13700016
Config_118,1750,22,40,36.46716882
Config_119,1750,22,50,53.02467308
Config_120,1750,22,60,56.07022417
Config_121,1750,34,10,23.81230259
Config_122,1750,34,20,20.31020558
Config_123,1750,34,30,36.87111441
Config_124,1750,34,40,27.84788754
Config_125,1750,34,50,42.79142833
Config_126,1750,34,60,55.80942099
Config_127,1750,46,10,11.25704482
Config_128,1750,46,20,18.3782378
Config_129,1750,46,30,26.70798327
Config_130,1750,46,40,28.69234817
Config_131,1750,46,50,28.45640929
Config_132,1750,46,60,41.55254132
Config_133,1750,58,10,8.734486274
Config_134,1750,58,20,21.413967
Config_135,1750,58,30,19.44888367
Config_136,1750,58,40,36.79567687
Config_137,1750,58,50,30.12973838
Config_138,1750,58,60,37.43569726
Config_139,1750,70,10,16.68126818
Config_140,1750,70,20,11.45936051
Config_141,1750,70,30,23.75098177
Config_142,1750,70,40,34.14939586
Config_143,1750,70,50,24.57626592
Config_144,1750,70,60,38.53685139
Config_145,2250,10,10,52.19840387
Config_146,2250,10,20,59.80810426
Config_147,2250,10,30,54.71423634
Config_148,2250,10,40,59.29670683
Config_149,2250,10,50,73.50869773
Config_150,2250,10,60,77.38391327
Config_151,2250,22,10,28.43603913
Config_152,2250,22,20,33.91581593
Config_153,2250,22,30,33.78345127
Config_154,2250,22,40,43.34484337
Config_155,2250,22,50,48.64893725
Config_156,2250,22,60,48.61181779
Config_157,2250,34,10,29.05903129
Config_158,2250,34,20,27.09932333
Config_159,2250,34,30,23.77364124
Config_160,2250,34,40,38.01292677
Config_161,2250,34,50,34.85675038
Config_162,2250,34,60,48.66558175
Config_163,2250,46,10,21.87572021
Config_164,2250,46,20,16.97933073
Config_165,2250,46,30,30.89962296
Config_166,2250,46,40,33.14664695
Config_167,2250,46,50,40.19304312
Config_168,2250,46,60,50.56670723
Config_169,2250,58,10,12.69208014
Config_170,2250,58,20,15.15033989
Config_171,2250,58,30,19.47144857
Config_172,2250,58,40,24.83996929
Config_173,2250,58,50,33.53351217
Config_174,2250,58,60,40.62478059
Config_175,2250,70,10,13.87015196
Config_176,2250,70,20,21.62261421
Config_177,2250,70,30,22.55170742
Config_178,2250,70,40,34.75436835
Config_179,2250,70,50,31.1634138
Config_180,2250,70,60,51.0875438
Config_181,2500,10,10,53.98288219
Config_182,2500,10,20,51.56875767
Config_183,2500,10,30,55.50008296
Config_184,2500,10,40,68.26690753
Config_185,2500,10,50,69.73723153
Config_186,2500,10,60,79.42454793
Config_187,2500,22,10,29.50531856
Config_188,2500,22,20,31.77498587
Config_189,2500,22,30,32.90516184
Config_190,2500,22,40,34.56489431
Config_191,2500,22,50,44.90655567
Config_192,2500,22,60,56.42112441
Config_193,2500,34,10,20.75618301
Config_194,2500,34,20,18.45702039
Config_195,2500,34,30,30.55161891
Config_196,2500,34,40,36.61230118
Config_197,2500,34,50,35.2664271
Config_198,2500,34,60,45.45433982
Config_199,2500,46,10,16.32934146
Config_200,2500,46,20,15.32344638
Config_201,2500,46,30,27.82723467
Config_202,2500,46,40,33.8422205
Config_203,2500,46,50,41.45355409
Config_204,2500,46,60,46.30730813
Config_205,2500,58,10,6.986229431
Config_206,2500,58,20,14.18545107
Config_207,2500,58,30,26.44975261
Config_208,2500,58,40,31.44350603
Config_209,2500,58,50,36.4498147
Config_210,2500,58,60,58.13823372
Config_211,2500,70,10,15.29670607
Config_212,2500,70,20,23.12008172
Config_213,2500,70,30,27.21226234
Config_214,2500,70,40,30.69920978
Config_215,2500,70,50,30.8659073
Config_216,2500,70,60,41.23709962
